station,year,month,day ,season,DO.median,n
CM40,2007,6,1,Summer,5.91,96
CM40,2007,6,2,Summer,5.805,96
CM40,2007,6,3,Summer,5.815,96
CM40,2007,6,4,Summer,5.79,96
CM40,2007,6,5,Summer,5.83,96
CM40,2007,6,6,Summer,5.8,96
CM40,2007,6,7,Summer,5.78,96
CM40,2007,6,8,Summer,5.565,96
CM40,2007,6,9,Summer,5.595,96
CM40,2007,6,10,Summer,5.49,96
CM40,2007,6,11,Summer,5.395,96
CM40,2007,6,12,Summer,5.17,96
CM40,2007,6,13,Summer,5,96
CM40,2007,6,14,Summer,4.535,96
CM40,2007,6,15,Summer,4.325,96
CM40,2007,6,16,Summer,4.27,96
CM40,2007,6,17,Summer,4.22,96
CM40,2007,6,18,Summer,4.07,96
CM40,2007,6,19,Summer,4,96
CM40,2007,6,20,Summer,4.14,96
CM40,2007,6,21,Summer,4.1,96
CM40,2007,6,22,Summer,3.88,96
CM40,2007,6,23,Summer,3.895,96
CM40,2007,6,24,Summer,3.985,96
CM40,2007,6,25,Summer,4.05,96
CM40,2007,6,26,Summer,3.915,96
CM40,2007,6,27,Summer,3.885,96
CM40,2007,6,28,Summer,4.215,96
CM40,2007,6,29,Summer,4.49,96
CM40,2007,6,30,Summer,4.77,96
CM40,2007,7,1,Summer,4.83,96
CM40,2007,7,2,Summer,4.86,96
CM40,2007,7,3,Summer,4.7,96
CM40,2007,7,4,Summer,4.785,96
CM40,2007,7,5,Summer,4.805,96
CM40,2007,7,6,Summer,4.83,96
CM40,2007,7,7,Summer,4.665,96
CM40,2007,7,8,Summer,4.635,96
CM40,2007,7,9,Summer,4.745,96
CM40,2007,7,10,Summer,4.865,96
CM40,2007,7,11,Summer,4.905,96
CM40,2007,7,12,Summer,4.8,96
CM40,2007,7,13,Summer,4.78,96
CM40,2007,7,14,Summer,4.89,96
CM40,2007,7,15,Summer,4.995,96
CM40,2007,7,16,Summer,4.98,96
CM40,2007,7,17,Summer,5.11,96
CM40,2007,7,18,Summer,5.03,96
CM40,2007,7,19,Summer,5.16,96
CM40,2007,7,20,Summer,5.015,96
CM40,2007,7,21,Summer,4.95,96
CM40,2007,7,22,Summer,5.11,96
CM40,2007,7,23,Summer,4.775,96
CM40,2007,7,24,Summer,4.7,96
CM40,2007,7,25,Summer,4.525,96
CM40,2007,7,26,Summer,4.7,96
CM40,2007,7,27,Summer,4.75,96
CM40,2007,7,28,Summer,4.98,96
CM40,2007,7,29,Summer,5.09,96
CM40,2007,7,30,Summer,5.045,96
CM40,2007,7,31,Summer,5.035,96
CM40,2007,8,1,Summer,5.05,96
CM40,2007,8,2,Summer,4.96,95
CM40,2007,8,3,Summer,5.04,96
CM40,2007,8,4,Summer,5.19,96
CM40,2007,8,5,Summer,5.25,96
CM40,2007,8,6,Summer,5.38,96
CM40,2007,8,7,Summer,5.27,96
CM40,2007,8,8,Summer,5.205,96
CM40,2007,8,9,Summer,5.115,96
CM40,2007,8,10,Summer,5.16,96
CM40,2007,8,11,Summer,5.185,96
CM40,2007,8,12,Summer,5.34,96
CM40,2007,8,13,Summer,5.42,96
CM40,2007,8,14,Summer,5.405,96
CM40,2007,8,15,Summer,5.43,96
CM40,2007,8,16,Summer,5.625,96
CM40,2007,8,17,Summer,5.65,96
CM40,2007,8,18,Summer,5.65,96
CM40,2007,8,19,Summer,5.715,96
CM40,2007,8,20,Summer,5.745,96
CM40,2007,8,21,Summer,5.805,96
CM40,2007,8,22,Summer,5.64,95
CM40,2007,8,23,Summer,5.445,96
CM40,2007,8,24,Summer,5.4,96
CM40,2007,8,25,Summer,5.5,96
CM40,2007,8,26,Summer,5.64,96
CM40,2007,8,27,Summer,5.58,96
CM40,2007,8,28,Summer,5.45,96
CM40,2007,8,29,Summer,5.225,96
CM40,2007,8,30,Summer,5.23,96
CM40,2007,8,31,Summer,5.54,96
CM40,2008,6,1,Summer,6.375,96
CM40,2008,6,2,Summer,6.425,96
CM40,2008,6,3,Summer,6.48,96
CM40,2008,6,4,Summer,6.675,96
CM40,2008,6,5,Summer,6.445,96
CM40,2008,6,6,Summer,6.27,96
CM40,2008,6,7,Summer,6.33,96
CM40,2008,6,8,Summer,6.255,96
CM40,2008,6,9,Summer,5.97,96
CM40,2008,6,10,Summer,6.165,96
CM40,2008,6,11,Summer,6.325,96
CM40,2008,6,12,Summer,6.025,96
CM40,2008,6,13,Summer,5.805,96
CM40,2008,6,14,Summer,6.005,96
CM40,2008,6,15,Summer,5.78,96
CM40,2008,6,16,Summer,5.575,96
