station,Date,Mean,Median,Std Dev,Max,Min,Number of Datapoints
CM40,06/01/2007,5.916979166666667,5.91,0.21907037942257473,6.45,5.31,96
CM40,06/02/2007,5.8325,5.805,0.260776169398808,6.58,5.3,96
CM40,06/03/2007,5.8116666666666665,5.8149999999999995,0.2893938007798795,6.71,4.81,96
CM40,06/04/2007,5.772916666666667,5.79,0.37191373268730404,6.56,4.21,96
CM40,06/05/2007,5.7640625,5.83,0.35873338032290053,6.45,3.92,96
CM40,06/06/2007,5.816354166666667,5.8,0.2205071656153589,6.42,5.19,96
CM40,06/07/2007,5.8221875,5.78,0.19705304188413195,6.45,5.27,96
CM40,06/08/2007,5.577395833333333,5.5649999999999995,0.26477098263520876,6.31,4.06,96
CM40,06/09/2007,5.6203125,5.595,0.24951512189170344,6.23,4.89,96
CM40,06/10/2007,5.4003125,5.49,0.3602234777847891,5.91,3.38,96
CM40,06/11/2007,5.395833333333333,5.395,0.170267076068694,5.77,4.86,96
CM40,06/12/2007,5.1340625,5.17,0.22330803895775428,5.54,4.28,96
CM40,06/13/2007,5.001145833333333,5,0.2554124416524716,5.69,4.42,96
CM40,06/14/2007,4.551770833333333,4.535,0.30236608968762096,5.12,3.97,96
CM40,06/15/2007,4.308229166666667,4.325,0.2468922406815813,4.88,3.72,96
CM40,06/16/2007,4.239270833333333,4.27,0.1923442352257051,4.77,3.78,96
CM40,06/17/2007,4.223333333333334,4.22,0.2252608624247694,4.73,3.79,96
CM40,06/18/2007,4.047291666666666,4.07,0.1920607314403533,4.38,3.46,96
CM40,06/19/2007,4.0321875,4,0.2471104723121135,4.5,3.05,96
CM40,06/20/2007,4.1221875,4.14,0.1913948969511658,4.51,3.54,96
CM40,06/21/2007,4.033229166666667,4.1,0.3522364480727075,4.63,2.33,96
CM40,06/22/2007,3.863020833333333,3.88,0.28091624446355673,4.5,2.91,96
CM40,06/23/2007,3.8109375,3.895,0.4579521421215149,4.52,2.02,96
CM40,06/24/2007,3.8167708333333334,3.9850000000000003,0.5164830354205189,4.42,1.66,96
CM40,06/25/2007,3.881666666666667,4.05,0.490371860330004,4.5,2.02,96
CM40,06/26/2007,3.9209375,3.915,0.3488147694995907,4.68,3.09,96
CM40,06/27/2007,3.8914583333333335,3.885,0.27748865948061885,4.54,2.76,96
CM40,06/28/2007,4.158229166666667,4.215,0.2367943580038514,4.52,3.17,96
CM40,06/29/2007,4.429791666666667,4.49,0.2797817915397515,4.91,3.39,96
CM40,06/30/2007,4.720104166666666,4.77,0.28144923742233524,5.26,3.92,96
CM40,07/01/2007,4.813229166666667,4.83,0.3045635178472773,5.39,3.49,96
CM40,07/02/2007,4.853229166666667,4.86,0.3176177603136619,5.47,3.74,96
CM40,07/03/2007,4.671770833333333,4.7,0.38630774422164266,5.46,3.86,96
CM40,07/04/2007,4.73375,4.785,0.36124128108218023,5.49,3.99,96
CM40,07/05/2007,4.765625,4.805,0.3435842423321351,5.76,4.08,96
CM40,07/06/2007,4.825833333333334,4.83,0.393766339120755,5.74,4.07,96
CM40,07/07/2007,4.753541666666667,4.665,0.3337852419135667,5.78,4.29,96
CM40,07/08/2007,4.683541666666667,4.635,0.2960049045349958,5.38,4.1,96
