station,percent.under.threshold
CM40Summer2007,43.91
CM40Summer2008,1.41
CM40Summer2009,0.37
CM40Summer2010,0.13
CM40Fall2007,19.93
CM40Fall2008,8.82
CM40Fall2009,16.16
CM40Fall2010,2
CM42Summer2007,48.5
CM42Summer2008,0.81
CM42Summer2009,0.11
CM42Summer2010,0.26
CM42Fall2007,23
CM42Fall2008,9.08
CM42Fall2009,17.9
CM42Fall2010,2.26
CM43Summer2007,45.07
CM43Summer2008,4.2
CM43Summer2009,3.9
CM43Summer2010,8.31
CM43Fall2007,27.47
CM43Fall2008,13.47
CM43Fall2009,14.08
CM43Fall2010,4.06
CM48Summer2007,26.65
CM48Summer2008,23.45
CM48Summer2009,16.13
CM48Summer2010,11.39
CM48Fall2007,12.95
CM48Fall2008,12.17
CM48Fall2009,8.01
CM48Fall2010,2.99
CM44_RRISummer2007,65.34
CM44_RRISummer2008,1.5
CM44_RRISummer2009,0.51
CM44_RRISummer2010,5.47
CM44_RRIFall2007,20.13
CM44_RRIFall2008,15.03
CM44_RRIFall2009,12.17
CM44_RRIFall2010,13.03
